Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,IsPartner,IsCustomerPortal,ChannelProgramName,ChannelProgramLevelName,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,new_date__c
"0012x000002QT1YAAW","false",,"GenePoint","Customer - Channel",,"345 Shoreline Park Mountain View, CA 94043 USA","Mountain View","CA",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Mountain View'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='CA'  stateCode='null'  street='345 Shoreline Park Mountain View, CA 94043 USA' ] }","345 Shoreline Park Mountain View, CA 94043 USA",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='345 Shoreline Park Mountain View, CA 94043 USA' ] }","(650) 867-3450","(650) 867-9895","CC978213","www.genepoint.com","/services/images/photo/0012x000002QT1YAAW","3712","Biotechnology","3.0E7","265","Private",,"Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs","Cold",,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,"Low","Bronze","Yes","1.0","Yes","7324","2020-10-25",
"0012x000002QT1WAAW","false",,"United Oil & Gas, UK","Customer - Direct",,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,"UK",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='UK'  stateCode='null'  street='Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom' ] }","Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom' ] }","+44 191 4956203","+44 191 4956620","CD355119-A","http://www.uos.com","/services/images/photo/0012x000002QT1WAAW","4437","Energy",,"24000","Public","UOS",,,,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,"High","Platinum","Yes","34.0","No","3479","2020-04-24",
"0012x000002QT1XAAW","false",,"United Oil & Gas, Singapore","Customer - Direct",,"9 Tagore Lane Singapore, Singapore 787472 Singapore","Singapore","Singapore",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Singapore'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='Singapore'  stateCode='null'  street='9 Tagore Lane Singapore, Singapore 787472 Singapore' ] }","9 Tagore Lane Singapore, Singapore 787472 Singapore",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='9 Tagore Lane Singapore, Singapore 787472 Singapore' ] }","(650) 450-8810","(650) 450-8820","CD355120-B","http://www.uos.com","/services/images/photo/0012x000002QT1XAAW","4437","Energy",,"3000","Public","UOS",,,,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,"High","Platinum","Yes","6.0","Maybe","2457","2020-10-25",
"0012x000002QT1OAAW","false",,"Edge Communications","Customer - Direct",,"312 Constitution Place Austin, TX 78767 USA","Austin","TX",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Austin'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='TX'  stateCode='null'  street='312 Constitution Place Austin, TX 78767 USA' ] }","312 Constitution Place Austin, TX 78767 USA",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='312 Constitution Place Austin, TX 78767 USA' ] }","(512) 757-6000","(512) 757-9000","CD451796","http://edgecomm.com","/services/images/photo/0012x000002QT1OAAW","6576","Electronics","1.39E8","1000","Public","EDGE","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","Hot",,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,"2020-05-24T17:34:45.000Z","2020-05-24T17:34:45.000Z","false","false",,,,,"Pending",,,,,,,,,,"Medium","Silver","Yes","2.0","Maybe","2657","2020-04-24",
"0012x000002QT1PAAW","false",,"Burlington Textiles Corp of America","Customer - Direct",,"525 S. Lexington Ave","Burlington","NC","27215","USA",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Burlington'  country='USA'  countryCode='null'  geocodeAccuracy='null'  postalCode='27215'  state='NC'  stateCode='null'  street='525 S. Lexington Ave' ] }",,,,,,,,,,"(336) 222-7000","(336) 222-8000","CD656092","www.burlington.com","/services/images/photo/0012x000002QT1PAAW","546732","Apparel","3.5E8","9000","Public","BTXT",,"Warm",,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,"Silver",,"6.0","Maybe","5367","2020-04-24",
"0012x000002QT1QAAW","false",,"Pyramid Construction Inc.","Customer - Channel",,"2 Place Jussieu","Paris",,"75251","France",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Paris'  country='France'  countryCode='null'  geocodeAccuracy='null'  postalCode='75251'  state='null'  stateCode='null'  street='2 Place Jussieu' ] }","2 Place Jussieu","Paris",,"75251","France",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Paris'  country='France'  countryCode='null'  geocodeAccuracy='null'  postalCode='75251'  state='null'  stateCode='null'  street='2 Place Jussieu' ] }","(014) 427-4427","(014) 427-4428","CC213425","www.pyramid.com","/services/images/photo/0012x000002QT1QAAW","4253","Construction","9.5E8","2680","Public","PYR",,,,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,,"Silver","Yes","17.0","Maybe","9840","2020-10-25",
"0012x000002QT1RAAW","false",,"Dickenson plc","Customer - Channel",,"1301 Hoch Drive","Lawrence","KS","66045","USA",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Lawrence'  country='USA'  countryCode='null'  geocodeAccuracy='null'  postalCode='66045'  state='KS'  stateCode='null'  street='1301 Hoch Drive' ] }","1301 Hoch Drive","Lawrence","KS","66045","USA",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Lawrence'  country='USA'  countryCode='null'  geocodeAccuracy='null'  postalCode='66045'  state='KS'  stateCode='null'  street='1301 Hoch Drive' ] }","(785) 241-6200","(785) 241-6201","CC634267","dickenson-consulting.com","/services/images/photo/0012x000002QT1RAAW","6752","Consulting","5.0E7","120","Private",,,,,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,"Low","Bronze","Yes","2.0","No","7425","2020-10-25",
"0012x000002QT1SAAW","false",,"Grand Hotels & Resorts Ltd","Customer - Direct",,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA","Chicago","IL",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Chicago'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='IL'  stateCode='null'  street='2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA' ] }","2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA' ] }","(312) 596-1000","(312) 596-1500","CD439877","www.grandhotels.com","/services/images/photo/0012x000002QT1SAAW","2268","Hospitality","5.0E8","5600","Public","GHTL","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","Warm",,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,"High","Gold","Yes","57.0","Yes","5572","2020-10-25",
"0012x000002QT1UAAW","false",,"Express Logistics and Transport","Customer - Channel",,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States","Portland","OR",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Portland'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='OR'  stateCode='null'  street='620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States' ] }","620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States' ] }","(503) 421-7800","(503) 421-7801","CC947211","www.expressl&t.net","/services/images/photo/0012x000002QT1UAAW","8742","Transportation","9.5E8","12300","Public","EXLT","Commerical logistics and transportation company.","Cold",,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,"Medium","Platinum","Yes","150.0","Maybe","4724","2020-10-25",
"0012x000002QT1VAAW","false",,"University of Arizona","Customer - Direct",,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States","Tucson","AZ",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Tucson'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='AZ'  stateCode='null'  street='888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States' ] }","888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States' ] }","(520) 773-9050","(520) 773-9060","CD736025","www.universityofarizona.com","/services/images/photo/0012x000002QT1VAAW","7321","Education",,"39000","Other",,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","Warm",,"0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z","0052x000000VJeKAAW","2020-03-30T07:08:48.000Z",,,,"false","false",,,,,"Pending",,,,,,,,,,"Medium","Gold","Yes","3.0","Yes","8350","2020-04-24",
